Date,Open,High,Low,Volume,Adj Close
3/17/2022,41140.84375,41287.53516,40662.87109,22009601093,40951.37891
3/18/2022,40944.83984,42195.74609,40302.39844,34421564942,41801.15625
3/19/2022,41794.64844,42316.55469,41602.66797,19664853187,42190.65234
3/20/2022,42191.40625,42241.16406,41004.75781,20127946682,41247.82422
3/21/2022,41246.13281,41454.41016,40668.04297,24615543271,41077.99609
3/22/2022,41074.10547,43124.70703,40948.28125,32004652376,42358.80859
3/23/2022,42364.37891,42893.50781,41877.50781,25242943069,42892.95703
3/24/2022,42886.65234,44131.85547,42726.16406,31042992291,43960.93359
3/25/2022,43964.54688,44999.49219,43706.28516,30574413034,44348.73047
3/26/2022,44349.85938,44735.99609,44166.27344,16950455995,44500.82813
